اذون اضافة الزيادات تفصيلية 

"التحديد";"م";"العملية";"المدخل";"كود الاذن";"التاريخ";"الوقت";"كود الصنف";"المخزن";"الصنف";"الوحدة";"الكمية";"السعر قبل";"التأثير";"الخصم %";"السعر";"الاجمالى"
"colchkbox";"moslsl";"title";"fuser";"idno_s";"fshortdate";"ftime";"fcodeunit";"fstorfrom";"fname";"funit";"fquntity";"fpr_sd";"fefect";"fpdis";"fpr_s";"gtot"
"True";"";" ";"ابراهيم الضويني ";"6";"27/02/2026 12:00:00 ص";"27/02/2026 01:56:12 ص";;"محل 1";"اب داون 8066 جرين لايت";"ك";"1.0000";"0.0000";"-";"0.0000";"200.0000";"200.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"8";"27/02/2026 12:00:00 ص";"27/02/2026 02:04:35 ص";;"محل 1";"بكره ليد 240 ورم H&L";"ك";"27.0000";"0.0000";"-";"0.0000";"65.0000";"1755.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"8";"27/02/2026 12:00:00 ص";"27/02/2026 02:04:35 ص";;"محل 1";"بكره ليد 240 ابيض H&L";"ك";"23.0000";"0.0000";"-";"0.0000";"65.0000";"1495.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"9";"11/03/2026 12:00:00 ص";"11/03/2026 10:58:48 م";;"محل 1";"لمبه ليد 12 وات ابيض فوكسي ضمان 2 عام";"ك";"1.0000";"0.0000";"-";"0.0000";"32.5000";"32.5000000000000"
"True";"";" ";"ابراهيم الضويني ";"10";"12/03/2026 12:00:00 ص";"12/03/2026 12:20:27 ص";;"محل 1";"لمبه ليد 12 وات ابيض ويل ماكس ضمان 4 عام";"ك";"10.0000";"0.0000";"-";"0.0000";"40.0000";"400.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"11";"14/03/2026 12:00:00 ص";"14/03/2026 03:15:00 م";;"محل 1";"اب داون 2235/15 اسود*دهبي (فرعوني ) بلاستيك(RS)";"ك";"7.0000";"0.0000";"-";"0.0000";"90.0000";"630.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"12";"18/03/2026 12:00:00 ص";"18/03/2026 04:56:06 م";;"محل 2";"اب داون 2248/2 دهبي هوم لايت";"ك";"1.0000";"0.0000";"-";"0.0000";"100.0000";"100.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"12";"18/03/2026 12:00:00 ص";"18/03/2026 04:56:06 م";;"محل 2";"بروفايل 1.7 سم خارج وسط جديد";"ك";"2.0000";"0.0000";"-";"0.0000";"63.5000";"127.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"14";"01/04/2026 12:00:00 ص";"01/04/2026 05:38:57 م";;"محل 1";"بروفايل 1.7 سم داخل وسط جديد";"ك";"1.0000";"0.0000";"-";"0.0000";"63.5000";"63.5000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"اب داون 2وات اسود  بلاستيك جرين لايت";"ك";"1.0000";"0.0000";"-";"0.0000";"25.0000";"25.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"اب داون 2236/4 (فرعوني) ( ابيض*دهبي) هوم لايت";"ك";"2.0000";"0.0000";"-";"0.0000";"220.0000";"440.0000000000000"
